track_name,artist,album,popularity,duration_ms
Soldadito marinero,Fito y Fitipaldis,Lo mas lejos a tu lado,69,254373
Lloverá y Yo Veré,La Pegatina,Eureka!,0,176718
Y Viva España,Manolo Escobar,"La Copla, Vol.4",1,216466
So payaso,Extremoduro,Agila,66,281666
Entre dos mares,Fito y Fitipaldis,Entre dos mares,55,280933
Pacto Entre Caballeros,Joaquín Sabina,Rock en Español,39,236160
A Contracorriente,El Canto Del Loco,Rock en Español,37,182346
Salir,Extremoduro,Canciones Prohibidas,65,318986
Por la Raja de Tu Falda,Estopa,Estopa,65,202826
El Toro Guapo,El Fary,Four Hits: El Fary,25,208520
15 d'Agosto,Ixo Rai,20 Grandes exitos,14,204786
Chiquilla,Seguridad Social,Que No Se Extinga La Llama!,58,187999
Feo Fuerte y Formal,Loquillo Y Los Trogloditas,"Feo, Fuerte y Formal",57,242266
Princesas,Pereza,Animales,64,216999
Por la boca vive el pez,Fito y Fitipaldis,Por la boca vive el pez,68,269373
Zapatillas,El Canto Del Loco,Zapatillas,64,172640
Vicio,Reincidentes,Algazara,45,172933
Antes de que cuente diez,Fito y Fitipaldis,Antes de que cuente diez,68,285040
La Madre de Jose,El Canto Del Loco,Estados de Animo,60,191346
Besos,El Canto Del Loco,Zapatillas,61,145826
Clavado en Un Bar,Maná,Sueños Líquidos,79,310813
Stand By,Extremoduro,"Yo, Minoría Absoluta",68,207986
Me equivocaría otra vez,Fito y Fitipaldis,Por la boca vive el pez,67,306240
Chica de ayer,Nacha Pop,Grandes Éxitos: Nacha Pop,49,208026
Cadillac solitario,Loquillo,Heroes De Los 80,57,214560
Entre dos tierras,Heroes Del Silencio,Senderos De Traición - Edición Especial,65,368320
El ritmo del garaje,Loquillo,Heroes De Los 80,53,293533
Sabor de amor,Danza Invisible,1984-1989,49,219640
Sirenas,Taburete,Dr. Charas,1,184250
Rock and Roll Star,Loquillo,Grandes Éxitos: Loquillo,47,249240
Maldito duende,Heroes Del Silencio,Senderos De Traición - Edición Especial,75,253186
Veneno en la Piel,Radio Futura,Caja de Canciones,58,225813
Retales de una vida,Celtas Cortos,40 de abril,56,272600
Rock And Roll en la Plaza del Pueblo,Tequila,Matricula De Honor/New Booklet,42,180266
El rompeolas - Remaster 2017,Loquillo Y Los Trogloditas,Morir en primavera (Remaster 2017),40,288000
Cien gaviotas,Duncan Dhu,Canciones,58,169773
Dieciocho,Dani Martín,Dieciocho,52,227835
Cero,Dani Martín,Grandes Éxitos y Pequeños Desastres,41,260763
El Nano,Melendi,El Nano,49,169160
El roce de tu cuerpo,Platero Y Tu,Muy Deficiente,58,250093
Agradecido,Rosendo,Loco Por Incordiar,47,274626
La vereda de la puerta de atrás,Extremoduro,"Yo, Minoría Absoluta",70,243320
Llamando a la tierra - Serenade From the Stars,M-Clan,Usar Y Tirar,62,244533
"P' aquí, p' allá",La Fuga,A golpes de Rock'n'Roll,51,256213
Quiero tener tu presencia,Seguridad Social,Furia Latina,62,220626
Buscando en la basura,La Fuga,Negociando gasolina,59,208839
Rey del Glam,Loquillo,Rock and Roll Actitud (1978-2018),40,299977
Mediterraneo,Los Rebeldes,Mediterránaeo,49,233026
Sin documentos,Los Rodriguez,¡Hasta luego!,3,285093
Dime Que Me Quieres,Tequila,Viva Tequila/New Booklet,48,180800
